begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
4986;5003;53;1;der herzoge Îmâîn;Imaîn;null;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":8,""start"":4978,""end"":4978}]";"[{""endOffset"":25,""startOffset"":8,""start"":""\/div[187]"",""end"":""\/div[187]""}]";49910030
5219;5233;53;1;sîner lantdiet;# unbestimmt (multi);overlap_max;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":12,""start"":""5207"",""end"":""5207""}]";"[{""endOffset"":26,""startOffset"":12,""start"":""\/div[196]"",""end"":""\/div[196]""}]";52242330
5219;5233;53;1;sîner lantdiet;# unbestimmt (multi);overlap;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":12,""start"":""5207"",""end"":""5207""}]";"[{""endOffset"":26,""startOffset"":12,""start"":""\/div[196]"",""end"":""\/div[196]""}]";52242331
5284;5316;53;1;arme unde rîche,alte unde junge;# unbestimmt (multi);null;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":0,""start"":""5284"",""end"":""5301""}]";"[{""endOffset"":15,""startOffset"":0,""start"":""\/div[199]"",""end"":""\/div[200]""}]";52893160
5502;5512;53;1;der ritter;Idêrs;null;0;1;0;R_AVT;7;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":9,""start"":5493,""end"":5493}]";"[{""endOffset"":19,""startOffset"":9,""start"":""\/div[209]"",""end"":""\/div[209]""}]";55075120
5707;5718;53;1;des ritters;null;overlap;0;1;0;R_AVT;8;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""5703"",""end"":""5703""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[217]"",""end"":""\/div[217]""}]";57127180
5707;5727;53;1;des ritters vriundîn;# unbestimmt (einzel);overlap_max;0;1;0;R_AVT;8;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":4,""start"":""5703"",""end"":""5703""}]";"[{""endOffset"":24,""startOffset"":4,""start"":""\/div[217]"",""end"":""\/div[217]""}]";57127270
5882;5886;53;1;Êrec;Erec;null;0;1;0;R_AVT;8;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":11,""start"":5871,""end"":5871}]";"[{""endOffset"":15,""startOffset"":11,""start"":""\/div[223]"",""end"":""\/div[223]""}]";58878860
6234;6244;53;1;den liuten;# unbestimmt (multi);null;0;0;0;R_AVT;8;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":4,""start"":""6230"",""end"":""6230""}]";"[{""endOffset"":14,""startOffset"":4,""start"":""\/div[237]"",""end"":""\/div[237]""}]";62402440
7331;7340;53;1;einen man;Koralus;null;0;0;0;R_AVT;10;null;"[""PER""]";"[{""endOffset"":7340,""startOffset"":7331,""start"":0,""end"":0}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[281]"",""end"":""\/div[281]""}]";73383400
