begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
9833;9841;6;1;der wîbe;# unbestimmt (multi);null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":0,""start"":""9833"",""end"":""9833""}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[354]"",""end"":""\/div[354]""}]";98339841
9907;9917;6;1;der wîgant;Gahmuret;null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":11,""start"":9896,""end"":9896}]";"[{""endOffset"":21,""startOffset"":11,""start"":""\/div[356]"",""end"":""\/div[356]""}]";99079917
9919;9925;6;1;muoter;Schôette;null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":9919,""end"":9919}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[357]"",""end"":""\/div[357]""}]";99199925
9927;9934;6;1;bruoder;Gâlôes;null;0;0;0;R_HOF;12;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":8,""start"":""9919"",""end"":""9919""}]";"[{""endOffset"":15,""startOffset"":8,""start"":""\/div[357]"",""end"":""\/div[357]""}]";99279934
10425;10433;6;1;Gahmuret;Gahmuret;null;0;0;0;R_HOF;13;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":0,""start"":10425,""end"":10425}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[375]"",""end"":""\/div[375]""}]";104260433
10822;10837;6;1;sô gewaltic man;Baruc;null;0;0;0;R_AVT;13;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":10,""start"":""10812"",""end"":""10812""}]";"[{""endOffset"":25,""startOffset"":10,""start"":""\/div[389]"",""end"":""\/div[389]""}]";108230837
10940;10949;6;1;den bâruc;Baruc;null;0;0;0;R_AVT;13;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":16,""start"":""10924"",""end"":""10924""}]";"[{""endOffset"":25,""startOffset"":16,""start"":""\/div[393]"",""end"":""\/div[393]""}]";109410949
10983;10993;6;1;vil künege;# unbestimmt (multi);null;0;0;0;R_AVT;13;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":10983,""end"":10983}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[395]"",""end"":""\/div[395]""}]";109840993
11037;11046;6;1;dez bâruc;Baruc;null;1;0;0;R_AVT;13;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":""11037"",""end"":""11037""}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[397]"",""end"":""\/div[397]""}]";110381046
11228;11237;6;1;der bâruc;Baruc;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":11228,""end"":11228}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[404]"",""end"":""\/div[404]""}]";112291237
11272;11296;6;1;Zwên bruoder von;Ipomidôn;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":0,""start"":""11272"",""end"":""11272""}]";"[{""endOffset"":24,""startOffset"":0,""start"":""\/div[406]"",""end"":""\/div[406]""}]";112731296
11272;11296;6;1;Zwên bruoder von;Pompeius;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":0,""start"":""11272"",""end"":""11272""}]";"[{""endOffset"":24,""startOffset"":0,""start"":""\/div[406]"",""end"":""\/div[406]""}]";112731297
11298;11306;6;1;Pompeius;Pompeius;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":0,""start"":11298,""end"":11298}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[407]"",""end"":""\/div[407]""}]";112991306
11311;11319;6;1;Ipomidôn;Ipomidôn;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":13,""start"":11298,""end"":11298}]";"[{""endOffset"":21,""startOffset"":13,""start"":""\/div[407]"",""end"":""\/div[407]""}]";113121319
11329;11345;6;1;der bâruc Ninivê;Baruc;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":8,""start"":11321,""end"":11321}]";"[{""endOffset"":24,""startOffset"":8,""start"":""\/div[408]"",""end"":""\/div[408]""}]";113301345
11413;11432;6;1;der junge Anschevîn;Gahmuret;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":8,""start"":11405,""end"":11405}]";"[{""endOffset"":27,""startOffset"":8,""start"":""\/div[411]"",""end"":""\/div[411]""}]";114141432
11443;11452;6;1;der bâruc;Baruc;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":9,""start"":""11434"",""end"":""11434""}]";"[{""endOffset"":18,""startOffset"":9,""start"":""\/div[412]"",""end"":""\/div[412]""}]";114441452
11497;11519;6;1;Gahmuret der werde man;Gahmuret;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":0,""start"":11497,""end"":11497}]";"[{""endOffset"":22,""startOffset"":0,""start"":""\/div[414]"",""end"":""\/div[414]""}]";114981519
11573;11579;6;1;Gandîn;Gandîn;null;1;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":21,""start"":11552,""end"":11552}]";"[{""endOffset"":27,""startOffset"":21,""start"":""\/div[416]"",""end"":""\/div[416]""}]";115741579
11592;11605;6;1;der vater;Gandîn;null;1;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":12,""start"":""11580"",""end"":""11580""}]";"[{""endOffset"":25,""startOffset"":12,""start"":""\/div[417]"",""end"":""\/div[417]""}]";115931605
11607;11616;6;1;der hêrre;Gahmuret;null;0;0;0;R_AVT;14;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":11607,""end"":11607}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[418]"",""end"":""\/div[418]""}]";116081616
12087;12096;6;1;der hêrre;Gahmuret;null;0;0;0;R_AVT;15;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":12087,""end"":12087}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[436]"",""end"":""\/div[436]""}]";120882096
12157;12171;6;1;der werde gast;Gahmuret;null;0;0;0;R_AVT;15;null;"[""PER""]";"[{""endOffset"":31,""startOffset"":17,""start"":12140,""end"":12140}]";"[{""endOffset"":31,""startOffset"":17,""start"":""\/div[438]"",""end"":""\/div[438]""}]";121582171
13001;13011;6;1;al gelîche Isenharten, der;Isenhart;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":13011,""startOffset"":13001,""start"":0,""end"":0}]";"[{""endOffset"":15,""startOffset"":13,""start"":""\/div[469]"",""end"":""\/div[470]""}]";130023011
13046;13053;6;1;ein wîp;Belacâne;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":28,""startOffset"":21,""start"":""13025"",""end"":""13025""}]";"[{""endOffset"":28,""startOffset"":21,""start"":""\/div[471]"",""end"":""\/div[471]""}]";130473053
13068;13076;6;1;Belacâne;null;overlap;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":13,""start"":13055,""end"":13055}]";"[{""endOffset"":21,""startOffset"":13,""start"":""\/div[472]"",""end"":""\/div[472]""}]";130693076
13068;13100;6;1;Belacâne,diu süeze valsches âne;Belacâne;overlap_max;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":13,""start"":""13055"",""end"":""13078""}]";"[{""endOffset"":22,""startOffset"":13,""start"":""\/div[472]"",""end"":""\/div[473]""}]";130693100
13172;13181;6;1;sîne mâge;# unbestimmt (multi);null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":11,""start"":13161,""end"":13161}]";"[{""endOffset"":20,""startOffset"":11,""start"":""\/div[476]"",""end"":""\/div[476]""}]";131733181
13210;13221;6;1;die vrouwen;Belacâne;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":13210,""end"":13210}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[478]"",""end"":""\/div[478]""}]";132113221
13275;13283;6;1;Gahmuret;Gahmuret;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":3,""start"":13272,""end"":13272}]";"[{""endOffset"":11,""startOffset"":3,""start"":""\/div[480]"",""end"":""\/div[480]""}]";132763283
