begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
8287;8297;64;1;wirtes;# unbestimmt (einzel) ;overlap;0;0;1;R_HOFART;11;null;"[""PER""]";"[{""endOffset"":8297,""startOffset"":8287,""start"":0,""end"":0}]";"[{""endOffset"":10,""startOffset"":4,""start"":""\/div[312]"",""end"":""\/div[312]""}]";82878297
8287;8350;64;1;des wirtes samenunge,schoene unde jungejunkherren unde knehte;# unbestimmt (multi) ;overlap_max;0;0;1;R_HOFART;11;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":0,""start"":""8287"",""end"":""8328""}]";"[{""endOffset"":22,""startOffset"":0,""start"":""\/div[312]"",""end"":""\/div[314]""}]";82878350
8516;8531;64;1;ein juncvrouwen;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;11;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":0,""start"":8516,""end"":8516}]";"[{""endOffset"":15,""startOffset"":0,""start"":""\/div[321]"",""end"":""\/div[321]""}]";85168531
8883;8897;64;1;unsaeliger man;Kâlogrenant;null;0;0;1;R_HOFART;11;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":4,""start"":""8879"",""end"":""8879""}]";"[{""endOffset"":18,""startOffset"":4,""start"":""\/div[336]"",""end"":""\/div[336]""}]";88838897
9002;9011;64;1;diu reine;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;12;null;"[""PER""]";"[{""endOffset"":31,""startOffset"":22,""start"":""8980"",""end"":""8980""}]";"[{""endOffset"":31,""startOffset"":22,""start"":""\/div[340]"",""end"":""\/div[340]""}]";90029011
9124;9134;64;1;den liuten;# unbestimmt (multi) ;null;0;0;1;R_HOFART;12;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":14,""start"":9110,""end"":9110}]";"[{""endOffset"":24,""startOffset"":14,""start"":""\/div[345]"",""end"":""\/div[345]""}]";91249134
9479;9487;64;1;ein bote;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;12;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":0,""start"":""9479"",""end"":""9479""}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[358]"",""end"":""\/div[358]""}]";94799487
9496;9505;64;1;dem wirte;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;12;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":17,""start"":9479,""end"":9479}]";"[{""endOffset"":26,""startOffset"":17,""start"":""\/div[358]"",""end"":""\/div[358]""}]";94969505
9607;9615;64;1;der wirt;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;12;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":0,""start"":""9607"",""end"":""9607""}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[362]"",""end"":""\/div[362]""}]";96079615
9867;9882;64;1;der juncvrouwen;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;13;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":4,""start"":9863,""end"":9863}]";"[{""endOffset"":19,""startOffset"":4,""start"":""\/div[372]"",""end"":""\/div[372]""}]";98679882
10528;10549;64;1;der rîterlîchen maget von;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;13;null;"[""PER""]";"[{""endOffset"":10549,""startOffset"":10528,""start"":0,""end"":0}]";"[{""endOffset"":3,""startOffset"":8,""start"":""\/div[396]"",""end"":""\/div[397]""}]";105290549
10594;10604;64;1;diu süeze ;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;13;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":10594,""end"":10594}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[399]"",""end"":""\/div[399]""}]";105950604
10671;10682;64;1;gesinde;# unbestimmt (multi) ;null;0;0;1;R_HOFART;14;null;"[""PER""]";"[{""endOffset"":10682,""startOffset"":10671,""start"":0,""end"":0}]";"[{""endOffset"":11,""startOffset"":4,""start"":""\/div[402]"",""end"":""\/div[402]""}]";106720682
10699;10703;64;1;gote;# Gott;null;0;0;1;R_HOFART;14;null;"[""PER""]";"[{""endOffset"":32,""startOffset"":28,""start"":10671,""end"":10671}]";"[{""endOffset"":32,""startOffset"":28,""start"":""\/div[402]"",""end"":""\/div[402]""}]";107000703
10708;10720;64;1;wirtes;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;14;null;"[""PER""]";"[{""endOffset"":10720,""startOffset"":10708,""start"":0,""end"":0}]";"[{""endOffset"":15,""startOffset"":9,""start"":""\/div[403]"",""end"":""\/div[403]""}]";107090720
11272;11275;64;1;got;# Gott;null;0;0;1;R_HOFART;14;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":17,""start"":11255,""end"":11255}]";"[{""endOffset"":20,""startOffset"":17,""start"":""\/div[426]"",""end"":""\/div[426]""}]";112731275
11333;11342;64;1;einen man;Waldmann;null;0;0;1;R_HOFART;14;null;"[""PER""]";"[{""endOffset"":30,""startOffset"":21,""start"":""11312"",""end"":""11312""}]";"[{""endOffset"":30,""startOffset"":21,""start"":""\/div[428]"",""end"":""\/div[428]""}]";113341342
11676;11686;64;1;der gebûre;Waldmann;null;0;0;1;R_HOFART;15;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":8,""start"":""11668"",""end"":""11668""}]";"[{""endOffset"":18,""startOffset"":8,""start"":""\/div[442]"",""end"":""\/div[442]""}]";116771686
11953;11973;64;1;dem ungevüegen manne;Waldmann;null;0;0;1;R_HOFART;15;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":0,""start"":""11953"",""end"":""11953""}]";"[{""endOffset"":20,""startOffset"":0,""start"":""\/div[455]"",""end"":""\/div[455]""}]";119541973
13611;13614;64;1;got;# Gott;null;0;0;1;R_HOFART;17;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":24,""start"":13587,""end"":13587}]";"[{""endOffset"":27,""startOffset"":24,""start"":""\/div[514]"",""end"":""\/div[514]""}]";136123614
13911;13916;64;1;herre;Waldmann;null;0;0;1;R_HOFART;18;null;"[""PER""]";"[{""endOffset"":7,""startOffset"":2,""start"":""13909"",""end"":""13909""}]";"[{""endOffset"":7,""startOffset"":2,""start"":""\/div[526]"",""end"":""\/div[526]""}]";139123916
